2015-03-03,220580,220580,217936,219000,500,219000,-5.1255833302,-4.6449575861,-4.7775034065,20150303,1,3,2015,86100316,1635000
2015-03-02,221900,221900,219000,220365,500,220365,-5.0185802042,-4.6508191519,-4.7785742584,20150302,0,3,2015,86100316,1635000
2015-02-27,222250,222250,220860,221180,200,221180,-4.9915999769,-4.64884266,-4.7760998942,20150227,4,2,2015,86100316,1635000
2015-02-26,222946,223420,222000,222250,100,222250,-5.0135227897,-4.6514905666,-4.7759533573,20150226,3,2,2015,86100316,1635000
2015-02-25,223970,223970,222680,222855,200,222855,-5.0031576787,-4.6355421768,-4.7761771463,20150225,2,2,2015,86100316,1635000
2015-02-24,221200,224010,220960,223405,300,223405,-4.9117150036,-4.6240027358,-4.7762646202,20150224,1,2,2015,86100316,1635000
2015-02-23,222800,222800,220294,221000,300,221000,-5.1591451287,-4.6092950695,-4.7788591292,20150223,0,2,2015,86100316,1635000
2015-02-20,220721,223100,219940,223100,200,223100,-5.2995548015,-4.5937026102,-4.7819621792,20150220,4,2,2015,86100316,1635000
2015-02-19,222251,222560,220730,221495,200,221495,-5.4036988901,-4.6002609786,-4.7828551728,20150219,3,2,2015,86100316,1635000
2015-02-18,223460,223600,222380,222800,200,222800,-5.4530892679,-4.5840207911,-4.7787543576,20150218,2,2,2015,86100316,1635000
2015-02-17,222950,224000,222486,223300,200,223300,-5.4349153143,-4.5681301717,-4.7789657389,20150217,1,2,2015,86100316,1635000
2015-02-13,223890,224186,222030,222555,400,222555,-4.9176257206,-4.5574728588,-4.7791126465,20150213,4,2,2015,86100316,1635000
2015-02-12,225000,225540,224020,224460,300,224460,-4.9940971282,-4.566483835,-4.7782043376,20150212,3,2,2015,86100316,1635000
2015-02-11,225099,225340,223339,224393,100,224393,-4.9213828235,-4.5577485656,-4.7779128952,20150211,2,2,2015,86100316,1635000
2015-02-10,225250,225820,223389,225140,200,225140,-4.7324649819,-4.5591797424,-4.7770597633,20150210,1,2,2015,86100316,1635000
2015-02-09,224545,224545,223209,224000,200,224000,-4.3893046517,-4.560351345,-4.7774840586,20150209,0,2,2015,86100316,1635000
2015-02-06,225000,227450,224376,224880,300,224880,-4.3782561087,-4.5621673524,-4.7702365838,20150206,4,2,2015,86100316,1635000
2015-02-05,222195,224863,221800,224560,400,224560,-4.1805439278,-4.5626350176,-4.7672202414,20150205,3,2,2015,86100316,1635000
2015-02-04,222000,222754,220815,221027,200,221027,-4.2149916672,-4.6014169094,-4.7723043277,20150204,2,2,2015,86100316,1635000
2015-02-03,221800,222695,218925,222183,300,222183,-4.2160624785,-4.4793156634,-4.7730180427,20150203,1,2,2015,86100316,1635000
2015-02-02,216001,220100,215151,220100,200,220100,-4.2569191563,-4.4427941132,-4.7561869957,20150202,0,2,2015,86100316,1635000
2015-01-30,219900,219900,215865,215865,300,215865,-4.2796656699,-4.4890947011,-4.764387965,20150130,4,1,2015,86100316,1635000
2015-01-29,218000,220380,216340,219998,300,219998,-4.3777162758,-4.5358171169,-4.7729386781,20150129,3,1,2015,86100316,1635000
2015-01-28,222700,223100,217160,217160,400,217160,-4.5072145385,-4.4748286851,-4.7765549646,20150128,2,1,2015,86100316,1635000
2015-01-27,221961,223154,221450,221511,300,221511,-4.623729601,-4.5172345275,-4.7880194772,20150127,1,1,2015,86100316,1635000
2015-01-26,223900,224517,222432,224184,100,224184,-4.7547291876,-4.5288289175,-4.7926924659,20150126,0,1,2015,86100316,1635000
2015-01-23,224800,224800,223680,223751,100,223751,-4.7214284587,-4.5144371531,-4.7887263693,20150123,4,1,2015,86100316,1635000
2015-01-22,222495,225214,221020,224915,400,224915,-4.755710316,-4.5046941779,-4.7825142831,20150122,3,1,2015,86100316,1635000
2015-01-21,222039,222500,220000,220895,300,220895,-5.0901153474,-4.5513449267,-4.7908610548,20150121,2,1,2015,86100316,1635000
2015-01-20,224000,225441,222208,222636,400,222636,-5.0679871571,-4.5574547264,-4.7931200374,20150120,1,1,2015,86100316,1635000
2015-01-16,220990,223779,220105,223615,200,223615,-4.7648602472,-4.5593913328,-4.7936185279,20150116,4,1,2015,86100316,1635000
2015-01-15,222505,223000,220839,221510,200,221510,-4.6792394718,-4.5544436196,-4.794596734,20150115,3,1,2015,86100316,1635000
2015-01-14,221005,222577,219779,221878,800,221878,-4.6759360557,-4.5540138919,-4.7933060798,20150114,2,1,2015,86100316,1635000
2015-01-13,224849,226420,221802,223000,600,223000,-4.5900147094,-4.5564740708,-4.7930141215,20150113,1,1,2015,86100316,1635000
2015-01-12,225495,225495,222083,222424,200,222424,-4.5422296284,-4.556076758,-4.789837642,20150112,0,1,2015,86100316,1635000
2015-01-09,227500,227500,223968,224675,200,224675,-4.5435925765,-4.5710215243,-4.7930150725,20150109,4,1,2015,86100316,1635000
2015-01-08,226124,226949,224000,226680,600,226680,-4.5759614668,-4.5824168909,-4.7956238485,20150108,3,1,2015,86100316,1635000
2015-01-07,222500,223536,220000,223480,400,223480,-4.7062089373,-4.6033905745,-4.7995938912,20150107,2,1,2015,86100316,1635000
2015-01-06,221110,222870,219266,220450,400,220450,-5.0222374257,-4.6314663097,-4.8041550408,20150106,1,1,2015,86100316,1635000
2015-01-05,223595,223595,220000,220980,500,220980,-5.0253567235,-4.6321790176,-4.8006869752,20150105,0,1,2015,86100316,1635000
2015-01-02,227230,227470,222735,223600,300,223600,-5.1365487969,-4.6584121368,-4.8053968414,20150102,4,1,2015,86100316,1635000
2014-12-31,228180,228870,225403,226000,200,226000,-5.3222513582,-4.682852828,-4.8065026536,20141231,2,12,2014,86100316,1635000
2014-12-30,227351,228285,226550,228255,200,228255,-5.512614374,-4.6969884218,-4.8096311048,20141230,1,12,2014,86100316,1635000
2014-12-29,226500,228350,226500,228165,200,228165,-4.4886349698,-4.6939707683,-4.8095714909,20141229,0,12,2014,86100316,1635000
2014-12-26,227301,228070,226500,226500,200,226500,-4.3723153981,-4.6999696131,-4.8107616342,20141226,4,12,2014,86100316,1635000
2014-12-24,227900,228520,226515,226515,300,226515,-4.3566591248,-4.6995541297,-4.8103108356,20141224,2,12,2014,86100316,1635000
2014-12-23,227840,229000,227530,227630,400,227630,-4.3920794669,-4.6879091528,-4.8113635326,20141223,1,12,2014,86100316,1635000
2014-12-22,227651,228680,226795,227720,200,227720,-4.0979547309,-4.6886825328,-4.8114149391,20141222,0,12,2014,86100316,1635000
2014-12-19,228152,228495,226294,227886,400,227886,-4.0985492717,-4.6898913945,-4.8109410412,20141219,4,12,2014,86100316,1635000
2014-12-18,226700,229300,225299,229300,700,229300,-4.0921198284,-4.701575883,-4.8124853027,20141218,3,12,2014,86100316,1635000
2014-12-17,219000,222800,218427,222800,600,222800,-4.3350943295,-4.8576685835,-4.8225330156,20141217,2,12,2014,86100316,1635000
2014-12-16,218215,222980,215500,218460,700,218460,-4.5261675595,-4.9522033043,-4.8326416086,20141216,1,12,2014,86100316,1635000
2014-12-15,222121,222519,217178,219073,500,219073,-4.5051297548,-4.9546051922,-4.8330755897,20141215,0,12,2014,86100316,1635000
2014-12-12,224000,224750,219000,219000,400,219000,-4.4868164088,-4.9493170548,-4.8327407767,20141212,4,12,2014,86100316,1635000
2014-12-11,224180,226836,224180,224800,400,224800,-5.0117577994,-5.2595429321,-4.8557114542,20141211,3,12,2014,86100316,1635000
2014-12-10,225400,226816,223304,223650,1300,223650,-4.8802197705,-5.2539106644,-4.8518039517,20141210,2,12,2014,86100316,1635000
2014-12-09,226300,226489,223391,225334,1000,225334,-4.9624088496,-5.3096570285,-4.8480496125,20141209,1,12,2014,86100316,1635000
