2015-04-28,134.46001,134.53999,129.57001,130.56,118580700,130.56,-4.3812115385,-4.4125506991,-2.8921510454,20150428,1,4,2015,40492278,752160.0768,16.1429,1.44
2015-04-27,132.31,133.13,131.14999,132.64999,84783100,132.64999,-4.4730919383,-4.4390992613,-2.8912355043,20150427,0,4,2015,40492278,764200.6295,16.4013,1.4173
2015-04-24,130.49001,130.63,129.23,130.28,44103400,130.28,-4.5013223649,-4.4395155056,-2.8914343491,20150424,4,4,2015,40492278,750546.9884,16.1083,1.443
2015-04-23,128.3,130.42,128.14,129.67,45412000,129.67,-4.5016978025,-4.3961883565,-2.8870059127,20150423,3,4,2015,40492278,747032.7601,16.0329,1.4498
2015-04-22,126.99,128.87,126.32,128.62,37393900,128.62,-4.4870571185,-4.3540106864,-2.8869724433,20150422,2,4,2015,40492278,740983.6786,15.903,1.4617
2015-04-21,128.10001,128.2,126.67,126.91,32274400,126.91,-4.5787966858,-4.3696437637,-2.887108244,20150421,1,4,2015,40492278,731132.3173,15.6916,1.4814
2015-04-20,125.57,128.12,125.17,127.6,47054300,127.6,-4.5934292265,-4.3727468421,-2.8870087928,20150420,0,4,2015,40492278,735107.428,15.7769,1.4734
2015-04-17,125.55,126.14,124.46,124.75,51323900,124.75,-5.1057414591,-4.4005987012,-2.887277235,20150417,4,4,2015,40492278,718688.4925,15.4245,1.507
2015-04-16,126.28,127.1,126.11,126.17,27895300,126.17,-5.3847570426,-4.4090820493,-2.8873341284,20150416,3,4,2015,40492278,726869.1551,15.6001,1.4901
2015-04-15,126.41,127.13,126.01,126.78,28848900,126.78,-5.1566643617,-4.4101968952,-2.8873201067,20150415,2,4,2015,40492278,730383.3834,15.6755,1.4829
2015-04-14,127,127.29,125.91,126.3,25524600,126.3,-4.8003411958,-4.4090307949,-2.8873189045,20150414,1,4,2015,40492278,727618.089,15.6162,1.4885
2015-04-13,128.37,128.57001,126.61,126.85,36365100,126.85,-4.7985416573,-4.3884064798,-2.8873008784,20150413,0,4,2015,40492278,730786.6555,15.6842,1.4821
2015-04-10,125.95,127.21,125.26,127.1,40188000,127.1,-4.8037568719,-4.3706051844,-2.8872149159,20150410,4,4,2015,40492278,732226.913,15.7151,1.4792
2015-04-09,125.85,126.58,124.66,126.56,32484000,126.56,-4.5683188648,-4.3146862199,-2.8871016591,20150409,3,4,2015,40492278,729273.9037,15.6483,1.4855
2015-04-08,125.85,126.4,124.97,125.6,37329200,125.6,-4.3026838647,-4.3203139625,-2.8871515544,20150408,2,4,2015,40492278,723742.1168,15.5296,1.4968
2015-04-07,127.64,128.12,125.98,126.01,35012300,126.01,-4.2738589119,-4.2524475501,-2.8870218549,20150407,1,4,2015,40492278,726104.6508,15.5803,1.4919
2015-04-06,124.47,127.51,124.33,127.35,37194000,127.35,-4.3449570527,-4.2545245328,-2.8869898493,20150406,0,4,2015,40492278,733826.1033,15.746,1.4762
2015-04-02,125.03,125.56,124.19,125.32,32220100,125.32,-4.1518593791,-4.2770415493,-2.8871680935,20150402,3,4,2015,40492278,722128.679,15.495,1.5002
2015-04-01,124.82,125.12,123.1,124.25,40621400,124.25,-4.1867331144,-4.2794154536,-2.8872266593,20150401,2,4,2015,40492278,715963.0415,15.3627,1.5131
2015-03-31,126.09,126.49,124.36,124.43,42090600,124.43,-4.1387063038,-4.2758093826,-2.8871548889,20150331,1,3,2015,40492278,717000.2515,15.385,1.5109
2015-03-30,124.05,126.4,124,126.37,47099700,126.37,-4.158959757,-4.2928973361,-2.8872783338,20150330,0,3,2015,40492278,728179.0709,17.0361,1.4877
2015-03-27,124.57,124.7,122.91,123.25,39546200,123.25,-4.4822441017,-4.3365649,-2.8877352292,20150327,4,3,2015,40492278,717900.191,16.6155,1.5254
2015-03-26,122.76,124.88,122.6,124.24,47572900,124.24,-4.3656355132,-4.2936614152,-2.8877571274,20150326,3,3,2015,40492278,723666.6915,16.749,1.5132
2015-03-25,126.54,126.82,123.38,123.38,51655200,123.38,-4.2556630449,-4.2684326705,-2.8877613393,20150325,2,3,2015,40492278,718657.4082,16.633,1.5237
